2025-02-01 02:44:16 - INFO - Testando: circuit_type1 - SPSAOptimizer - 2 camadas
2025-02-01 02:46:09 - INFO - Fold: 1 | Iter:    14 | Cost: 0.7387467 | Best Cost: 0.6590962
2025-02-01 02:46:09 - INFO - Fold: 1 | Iter:    15 | Cost: 0.7635272 | Best Cost: 0.6590962
2025-02-01 02:46:10 - INFO - Fold: 1 | Iter:    16 | Cost: 0.7645290 | Best Cost: 0.6590962
2025-02-01 02:46:11 - INFO - Fold: 1 | Iter:    17 | Cost: 0.6977208 | Best Cost: 0.6590962
2025-02-01 02:46:12 - INFO - Fold: 1 | Iter:    18 | Cost: 0.7985087 | Best Cost: 0.6590962
2025-02-01 02:46:12 - INFO - Fold: 1 | Iter:    19 | Cost: 0.7274296 | Best Cost: 0.6590962
2025-02-01 02:46:13 - INFO - Fold: 1 | Iter:    20 | Cost: 0.7622096 | Best Cost: 0.6590962
2025-02-01 02:46:14 - INFO - Fold: 1 | Iter:    21 | Cost: 0.7690814 | Best Cost: 0.6590962
2025-02-01 02:46:15 - INFO - Fold: 1 | Iter:    22 | Cost: 0.7591383 | Best Cost: 0.6590962
2025-02-01 02:46:15 - INFO - Fold: 1 | Iter:    23 | Cost: 0.7989442 | Best Cost: 0.6590962
2025-02-01 02:46:16 - INFO - Fold: 1 | Iter:    24 | Cost: 0.6888779 | Best Cost: 0.6590962
2025-02-01 02:46:17 - INFO - Fold: 1 | Iter:    25 | Cost: 0.7135531 | Best Cost: 0.6590962
2025-02-01 02:46:18 - INFO - Fold: 1 | Iter:    26 | Cost: 0.7159086 | Best Cost: 0.6590962
2025-02-01 02:46:18 - INFO - Fold: 1 | Iter:    27 | Cost: 0.7122235 | Best Cost: 0.6590962
2025-02-01 02:46:19 - INFO - Fold: 1 | Iter:    28 | Cost: 0.7130536 | Best Cost: 0.6590962
2025-02-01 02:46:20 - INFO - Fold: 1 | Iter:    29 | Cost: 0.7506563 | Best Cost: 0.6590962
2025-02-01 02:46:21 - INFO - Fold: 1 | Iter:    30 | Cost: 0.7496242 | Best Cost: 0.6590962
2025-02-01 02:46:21 - INFO - Fold: 1 | Iter:    31 | Cost: 0.7274078 | Best Cost: 0.6590962
2025-02-01 02:46:22 - INFO - Fold: 1 | Iter:    32 | Cost: 0.7686633 | Best Cost: 0.6590962
2025-02-01 02:46:23 - INFO - Fold: 1 | Iter:    33 | Cost: 0.7544938 | Best Cost: 0.6590962
2025-02-01 02:46:23 - INFO - Fold: 1 | Iter:    34 | Cost: 0.7448011 | Best Cost: 0.6590962
2025-02-01 02:46:24 - INFO - Fold: 1 | Iter:    35 | Cost: 0.7309048 | Best Cost: 0.6590962
2025-02-01 02:46:25 - INFO - Fold: 1 | Iter:    36 | Cost: 0.7335147 | Best Cost: 0.6590962
2025-02-01 02:46:27 - INFO - Fold: 1 | Iter:    37 | Cost: 0.7066738 | Best Cost: 0.6590962
2025-02-01 02:46:27 - INFO - Fold: 1 | Iter:    38 | Cost: 0.7756010 | Best Cost: 0.6590962
2025-02-01 02:46:28 - INFO - Fold: 1 | Iter:    39 | Cost: 0.6772495 | Best Cost: 0.6590962
2025-02-01 02:46:29 - INFO - Fold: 1 | Iter:    40 | Cost: 0.7032632 | Best Cost: 0.6590962
2025-02-01 02:46:30 - INFO - Fold: 1 | Iter:    41 | Cost: 0.7660344 | Best Cost: 0.6590962
2025-02-01 02:46:30 - INFO - Fold: 1 | Iter:    42 | Cost: 0.7475195 | Best Cost: 0.6590962
2025-02-01 02:46:31 - INFO - Fold: 1 | Iter:    43 | Cost: 0.7068429 | Best Cost: 0.6590962
2025-02-01 02:46:31 - INFO - Fold: 1 | Iter:    44 | Cost: 0.6746994 | Best Cost: 0.6590962
2025-02-01 02:46:32 - INFO - Fold: 1 | Iter:    45 | Cost: 0.7490262 | Best Cost: 0.6590962
2025-02-01 02:46:33 - INFO - Fold: 1 | Iter:    46 | Cost: 0.7570786 | Best Cost: 0.6590962
2025-02-01 02:46:34 - INFO - Fold: 1 | Iter:    47 | Cost: 0.7355064 | Best Cost: 0.6590962
2025-02-01 02:46:35 - INFO - Fold: 1 | Iter:    48 | Cost: 0.6730177 | Best Cost: 0.6590962
2025-02-01 02:46:36 - INFO - Fold: 1 | Iter:    49 | Cost: 0.7507355 | Best Cost: 0.6590962
2025-02-01 02:46:36 - INFO - Fold: 1 | Iter:    50 | Cost: 0.6935872 | Best Cost: 0.6590962
2025-02-01 02:46:37 - INFO - Fold: 1 | Iter:    51 | Cost: 0.7462888 | Best Cost: 0.6590962
2025-02-01 02:46:38 - INFO - Fold: 1 | Iter:    52 | Cost: 0.6656948 | Best Cost: 0.6590962
2025-02-01 02:46:39 - INFO - Fold: 1 | Iter:    53 | Cost: 0.7743620 | Best Cost: 0.6590962
2025-02-01 02:46:40 - INFO - Fold: 1 | Iter:    54 | Cost: 0.7876445 | Best Cost: 0.6590962
2025-02-01 02:46:40 - INFO - Fold: 1 | Iter:    55 | Cost: 0.6749823 | Best Cost: 0.6590962
2025-02-01 02:46:41 - INFO - Fold: 1 | Iter:    56 | Cost: 0.7374444 | Best Cost: 0.6590962
2025-02-01 02:46:42 - INFO - Fold: 1 | Iter:    57 | Cost: 0.6905185 | Best Cost: 0.6590962
2025-02-01 02:46:43 - INFO - Fold: 1 | Iter:    58 | Cost: 0.7060108 | Best Cost: 0.6590962
2025-02-01 02:46:44 - INFO - Fold: 1 | Iter:    59 | Cost: 0.6888572 | Best Cost: 0.6590962
2025-02-01 02:46:45 - INFO - Fold: 1 | Iter:    60 | Cost: 0.7871203 | Best Cost: 0.6590962
2025-02-01 02:46:45 - INFO - Fold: 1 | Iter:    61 | Cost: 0.7254951 | Best Cost: 0.6590962
2025-02-01 02:46:46 - INFO - Fold: 1 | Iter:    62 | Cost: 0.6438028 | Best Cost: 0.6438028
2025-02-01 02:46:47 - INFO - Fold: 1 | Iter:    63 | Cost: 0.7455678 | Best Cost: 0.6438028
2025-02-01 02:46:48 - INFO - Fold: 1 | Iter:    64 | Cost: 0.7072702 | Best Cost: 0.6438028
2025-02-01 02:47:01 - INFO - Testando: circuit_type1 - SPSAOptimizer - 2 camadas
2025-02-01 02:47:03 - INFO - Fold: 1 | Iter:     1 | Cost: 1.1690354 | Best Cost: 1.1690354
2025-02-01 02:47:03 - INFO - Fold: 1 | Iter:     2 | Cost: 1.2718573 | Best Cost: 1.1690354
2025-02-01 02:47:04 - INFO - Fold: 1 | Iter:     3 | Cost: 1.2176982 | Best Cost: 1.1690354
2025-02-01 02:47:05 - INFO - Fold: 1 | Iter:     4 | Cost: 1.3029969 | Best Cost: 1.1690354
2025-02-01 02:47:06 - INFO - Fold: 1 | Iter:     5 | Cost: 1.1489986 | Best Cost: 1.1489986
2025-02-01 02:47:06 - INFO - Fold: 1 | Iter:     6 | Cost: 1.1419998 | Best Cost: 1.1419998
2025-02-01 02:47:07 - INFO - Fold: 1 | Iter:     7 | Cost: 1.1932028 | Best Cost: 1.1419998
2025-02-01 02:47:08 - INFO - Fold: 1 | Iter:     8 | Cost: 1.0980161 | Best Cost: 1.0980161
2025-02-01 02:47:09 - INFO - Fold: 1 | Iter:     9 | Cost: 1.1917577 | Best Cost: 1.0980161
2025-02-01 02:47:09 - INFO - Fold: 1 | Iter:    10 | Cost: 1.1937985 | Best Cost: 1.0980161
2025-02-01 02:47:10 - INFO - Fold: 1 | Iter:    11 | Cost: 1.2067693 | Best Cost: 1.0980161
2025-02-01 02:47:11 - INFO - Fold: 1 | Iter:    12 | Cost: 1.1782621 | Best Cost: 1.0980161
2025-02-01 02:47:12 - INFO - Fold: 1 | Iter:    13 | Cost: 1.2130564 | Best Cost: 1.0980161
2025-02-01 02:47:12 - INFO - Fold: 1 | Iter:    14 | Cost: 1.1586736 | Best Cost: 1.0980161
2025-02-01 02:47:13 - INFO - Fold: 1 | Iter:    15 | Cost: 1.1907597 | Best Cost: 1.0980161
2025-02-01 02:47:14 - INFO - Fold: 1 | Iter:    16 | Cost: 1.1555900 | Best Cost: 1.0980161
2025-02-01 02:47:15 - INFO - Fold: 1 | Iter:    17 | Cost: 1.1549891 | Best Cost: 1.0980161
2025-02-01 02:47:15 - INFO - Fold: 1 | Iter:    18 | Cost: 1.0858407 | Best Cost: 1.0858407
2025-02-01 02:47:16 - INFO - Fold: 1 | Iter:    19 | Cost: 1.2091374 | Best Cost: 1.0858407
2025-02-01 02:47:17 - INFO - Fold: 1 | Iter:    20 | Cost: 1.1268712 | Best Cost: 1.0858407
2025-02-01 02:47:18 - INFO - Fold: 1 | Iter:    21 | Cost: 1.2012988 | Best Cost: 1.0858407
2025-02-01 02:47:18 - INFO - Fold: 1 | Iter:    22 | Cost: 1.1539686 | Best Cost: 1.0858407
2025-02-01 02:47:19 - INFO - Fold: 1 | Iter:    23 | Cost: 1.1807561 | Best Cost: 1.0858407
2025-02-01 02:47:20 - INFO - Fold: 1 | Iter:    24 | Cost: 1.1657581 | Best Cost: 1.0858407
2025-02-01 02:47:21 - INFO - Fold: 1 | Iter:    25 | Cost: 1.1284233 | Best Cost: 1.0858407
2025-02-01 02:47:21 - INFO - Fold: 1 | Iter:    26 | Cost: 1.1688181 | Best Cost: 1.0858407
2025-02-01 02:47:22 - INFO - Fold: 1 | Iter:    27 | Cost: 1.1359089 | Best Cost: 1.0858407
2025-02-01 02:47:23 - INFO - Fold: 1 | Iter:    28 | Cost: 1.2036738 | Best Cost: 1.0858407
2025-02-01 02:47:24 - INFO - Fold: 1 | Iter:    29 | Cost: 1.1647985 | Best Cost: 1.0858407
2025-02-01 02:47:24 - INFO - Fold: 1 | Iter:    30 | Cost: 1.1881469 | Best Cost: 1.0858407
2025-02-01 02:47:25 - INFO - Fold: 1 | Iter:    31 | Cost: 1.1741825 | Best Cost: 1.0858407
2025-02-01 02:47:26 - INFO - Fold: 1 | Iter:    32 | Cost: 1.2335099 | Best Cost: 1.0858407
2025-02-01 02:47:26 - INFO - Fold: 1 | Iter:    33 | Cost: 1.1742154 | Best Cost: 1.0858407
2025-02-01 02:47:27 - INFO - Fold: 1 | Iter:    34 | Cost: 1.1205837 | Best Cost: 1.0858407
2025-02-01 02:47:28 - INFO - Fold: 1 | Iter:    35 | Cost: 1.1246107 | Best Cost: 1.0858407
2025-02-01 02:47:28 - INFO - Fold: 1 | Iter:    36 | Cost: 1.1312958 | Best Cost: 1.0858407
2025-02-01 02:47:29 - INFO - Fold: 1 | Iter:    37 | Cost: 1.1567174 | Best Cost: 1.0858407
2025-02-01 02:47:30 - INFO - Fold: 1 | Iter:    38 | Cost: 1.1729495 | Best Cost: 1.0858407
2025-02-01 02:47:31 - INFO - Fold: 1 | Iter:    39 | Cost: 1.1092043 | Best Cost: 1.0858407
2025-02-01 02:47:32 - INFO - Fold: 1 | Iter:    40 | Cost: 1.1421448 | Best Cost: 1.0858407
2025-02-01 02:47:32 - INFO - Fold: 1 | Iter:    41 | Cost: 1.1258351 | Best Cost: 1.0858407
2025-02-01 02:47:33 - INFO - Fold: 1 | Iter:    42 | Cost: 1.0702007 | Best Cost: 1.0702007
2025-02-01 02:47:34 - INFO - Fold: 1 | Iter:    43 | Cost: 1.1895362 | Best Cost: 1.0702007
2025-02-01 02:47:35 - INFO - Fold: 1 | Iter:    44 | Cost: 1.1536529 | Best Cost: 1.0702007
2025-02-01 02:47:35 - INFO - Fold: 1 | Iter:    45 | Cost: 1.1330240 | Best Cost: 1.0702007
2025-02-01 02:47:36 - INFO - Fold: 1 | Iter:    46 | Cost: 1.1613664 | Best Cost: 1.0702007
2025-02-01 02:47:37 - INFO - Fold: 1 | Iter:    47 | Cost: 1.0883477 | Best Cost: 1.0702007
2025-02-01 02:47:38 - INFO - Fold: 1 | Iter:    48 | Cost: 1.2257770 | Best Cost: 1.0702007
